,zone,served_1500,denied1500,served_2000,denied2000,served_2500,denied2500,served_3000,denied3000,served_3500,denied3500,served_6000,denied6000
0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,194,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
2,128,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3,127,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0,2.0
4,243,1.0,11.0,2.0,8.0,1.0,11.0,1.0,10.0,3.0,8.0,3.0,9.0
5,12,9.0,21.0,13.0,14.0,13.0,16.0,11.0,21.0,14.0,14.0,12.0,20.0
6,232,26.0,23.0,25.0,24.0,17.0,27.0,19.0,31.0,33.0,15.0,41.0,7.0
7,116,36.0,36.0,34.0,38.0,39.0,37.0,43.0,31.0,47.0,28.0,55.0,20.0
8,152,15.0,40.0,13.0,42.0,29.0,27.0,30.0,29.0,33.0,24.0,43.0,15.0
9,209,25.0,44.0,32.0,41.0,45.0,25.0,39.0,30.0,52.0,18.0,59.0,10.0
10,45,22.0,48.0,41.0,33.0,42.0,28.0,49.0,26.0,42.0,30.0,67.0,10.0
11,244,21.0,49.0,21.0,46.0,35.0,35.0,34.0,38.0,36.0,35.0,50.0,20.0
12,42,45.0,64.0,60.0,49.0,75.0,33.0,79.0,29.0,92.0,16.0,96.0,12.0
13,24,102.0,81.0,116.0,65.0,145.0,34.0,159.0,20.0,171.0,11.0,179.0,2.0
14,4,72.0,83.0,95.0,56.0,133.0,25.0,133.0,23.0,134.0,21.0,158.0,0.0
15,125,111.0,85.0,135.0,64.0,156.0,42.0,168.0,33.0,162.0,42.0,197.0,0.0
16,41,97.0,96.0,110.0,82.0,131.0,60.0,154.0,41.0,158.0,32.0,191.0,4.0
17,148,143.0,97.0,177.0,70.0,184.0,58.0,216.0,32.0,217.0,34.0,251.0,5.0
18,88,75.0,98.0,109.0,73.0,122.0,55.0,125.0,58.0,136.0,39.0,172.0,10.0
19,74,143.0,105.0,161.0,87.0,180.0,66.0,236.0,19.0,222.0,36.0,234.0,20.0
20,114,162.0,106.0,200.0,76.0,222.0,52.0,254.0,21.0,258.0,20.0,270.0,7.0
21,166,110.0,110.0,124.0,95.0,168.0,57.0,197.0,24.0,178.0,45.0,217.0,2.0
22,144,104.0,111.0,143.0,77.0,153.0,66.0,188.0,26.0,200.0,15.0,215.0,1.0
23,211,109.0,120.0,163.0,66.0,158.0,74.0,197.0,38.0,212.0,19.0,224.0,15.0
24,224,160.0,129.0,224.0,63.0,236.0,52.0,272.0,12.0,280.0,12.0,287.0,7.0
25,158,209.0,161.0,263.0,116.0,306.0,79.0,328.0,47.0,370.0,8.0,387.0,2.0
26,261,113.0,168.0,155.0,116.0,200.0,76.0,235.0,48.0,217.0,65.0,284.0,5.0
27,87,153.0,179.0,193.0,140.0,244.0,92.0,264.0,68.0,282.0,57.0,332.0,4.0
28,246,295.0,199.0,383.0,119.0,470.0,42.0,488.0,24.0,504.0,6.0,518.0,0.0
29,75,305.0,203.0,365.0,131.0,428.0,83.0,451.0,59.0,491.0,24.0,520.0,0.0
30,43,335.0,222.0,406.0,146.0,520.0,49.0,545.0,32.0,562.0,11.0,565.0,6.0
31,137,627.0,230.0,677.0,184.0,822.0,33.0,869.0,0.0,864.0,0.0,881.0,0.0
32,50,327.0,260.0,484.0,106.0,550.0,38.0,575.0,19.0,603.0,0.0,604.0,0.0
33,151,317.0,279.0,416.0,180.0,522.0,83.0,539.0,52.0,581.0,32.0,605.0,0.0
34,249,425.0,289.0,532.0,187.0,654.0,68.0,688.0,37.0,714.0,7.0,730.0,0.0
35,13,278.0,316.0,378.0,205.0,488.0,110.0,479.0,122.0,525.0,62.0,598.0,1.0
36,231,388.0,343.0,485.0,234.0,572.0,149.0,652.0,71.0,709.0,29.0,742.0,6.0
37,113,431.0,355.0,633.0,158.0,743.0,54.0,759.0,30.0,796.0,20.0,787.0,0.0
38,233,489.0,374.0,688.0,190.0,842.0,45.0,855.0,22.0,887.0,0.0,889.0,0.0
39,90,516.0,374.0,700.0,205.0,806.0,89.0,874.0,23.0,919.0,0.0,915.0,0.0
40,143,484.0,385.0,700.0,178.0,815.0,52.0,857.0,22.0,882.0,0.0,887.0,0.0
41,79,541.0,390.0,687.0,246.0,793.0,137.0,902.0,31.0,943.0,0.0,946.0,0.0
42,68,652.0,403.0,884.0,176.0,1012.0,41.0,1042.0,35.0,1085.0,0.0,1091.0,0.0
43,164,595.0,414.0,858.0,150.0,996.0,38.0,1036.0,1.0,1036.0,0.0,1024.0,0.0
44,163,725.0,417.0,907.0,242.0,1105.0,54.0,1174.0,12.0,1180.0,0.0,1186.0,0.0
45,234,656.0,445.0,858.0,248.0,1066.0,68.0,1120.0,13.0,1139.0,0.0,1148.0,0.0
46,262,648.0,491.0,894.0,242.0,1084.0,66.0,1115.0,31.0,1139.0,39.0,1186.0,0.0
47,229,773.0,524.0,988.0,327.0,1245.0,69.0,1340.0,0.0,1335.0,0.0,1348.0,0.0
48,230,687.0,526.0,1000.0,206.0,1138.0,101.0,1245.0,0.0,1230.0,7.0,1240.0,0.0
49,142,860.0,530.0,1071.0,308.0,1320.0,95.0,1426.0,0.0,1439.0,0.0,1428.0,0.0
50,100,1068.0,556.0,1363.0,272.0,1653.0,20.0,1664.0,0.0,1655.0,3.0,1662.0,0.0
51,263,704.0,579.0,952.0,318.0,1199.0,85.0,1273.0,35.0,1307.0,0.0,1321.0,0.0
52,107,723.0,588.0,1113.0,209.0,1242.0,75.0,1322.0,4.0,1336.0,0.0,1334.0,0.0
53,161,969.0,607.0,1296.0,305.0,1568.0,39.0,1660.0,0.0,1647.0,0.0,1633.0,0.0
54,140,866.0,620.0,1125.0,350.0,1349.0,147.0,1481.0,41.0,1518.0,0.0,1515.0,5.0
55,239,871.0,636.0,1062.0,423.0,1370.0,142.0,1468.0,42.0,1555.0,0.0,1554.0,0.0
56,48,1049.0,647.0,1408.0,291.0,1690.0,52.0,1734.0,0.0,1758.0,0.0,1738.0,0.0
57,238,739.0,659.0,1034.0,341.0,1168.0,226.0,1369.0,30.0,1420.0,2.0,1434.0,0.0
58,162,1113.0,685.0,1481.0,303.0,1755.0,51.0,1853.0,0.0,1847.0,0.0,1864.0,0.0
59,141,944.0,737.0,1367.0,323.0,1585.0,114.0,1715.0,0.0,1724.0,0.0,1720.0,0.0
60,170,1211.0,832.0,1596.0,441.0,1950.0,107.0,2104.0,0.0,2095.0,0.0,2117.0,0.0
61,237,1329.0,867.0,1725.0,490.0,2162.0,79.0,2284.0,0.0,2269.0,0.0,2245.0,0.0
62,186,1552.0,989.0,2043.0,492.0,2539.0,29.0,2615.0,0.0,2612.0,0.0,2606.0,0.0
63,236,1451.0,1127.0,1946.0,633.0,2379.0,184.0,2614.0,34.0,2689.0,0.0,2657.0,0.0
